Title,Location,Description,Price/night,Interior,Amenities,Ratings,Reviews,Features,Normalized Price/night,Normalized Reviews,Guests,Room type,Owner,Avg Feature Rating,Has Washer,Has Dryer
Entire rental unit hosted by Ma Nuevalyn,"Cebu City, Central Visayas, Philippines",Casa Rosa Studio at Cebu IT Park,2523,"2 guests, Studio, 1 bed, 1 bathroom","Mountain view, Garden view, Kitchen, Wifi, Dedicated workspace and 11 more",4.8,5,"Cleanliness 4.8, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.6, Value 4.8",0.002523,0.005,2,Entire,Ma Nuevalyn,4.77,False,False
Entire apartment hosted by Art,"Makati City, Metro Manila, Philippines",Oxford Suites Condo Unit,2536,"2 guests, 1 bedroom, 1 queen bed, 1 bathroom","Wifi, Dedicated workspace, TV with standard cable/satellite, Lift, Air conditioning and 30 more",4.55,582,"Cleanliness 4.4, Accuracy 4.6, Communication 4.8, Location 4.7, Check-in 4.9, Value 4.7",0.002536,0.582,2,Entire,Art,4.68,False,False
Private room in bed and breakfast hosted by Emmerich,"Pasay, Metro Manila, Philippines",Budget Room Shared Bath Wifi Gil Puyat Taft LRT 1,1552,"2 guests, 1 bedroom, 1 double bed, 1 shared bathroom","Wifi, TV, Paid washer  In building, Air conditioning, Hair dryer and 17 more",4.92,38,"Cleanliness 4.9, Accuracy 4.9, Communication 4.7, Location 4.9, Check-in 4.8, Value 4.8",0.001552,0.038,2,Private,Emmerich,4.83,True,True
Entire serviced apartment hosted by Seven,"Salaman Street Corner Kalayaan Avenue Barangay Poblacion Makati, Metro Manila, Philippines",New! A Superb Gramercy 1BR Loft With NetFlix/HBO,3740,"3 guests, 1 bedroom, 1 bed, 1 bathroom","City skyline view, River view, Kitchen, Wifi, Dedicated workspace and 45 more",4.81,32,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.00374,0.032,3,Entire,Seven,4.83,False,False
Entire apartment hosted by Edmar,"Mandaue City, Central Visayas, Philippines",Studio Unit: Urban Homes Condo Tipolo Mandaue City,1277,"4 guests, 1 bedroom, 2 beds, 1 bathroom","Kitchen, Wifi, Dedicated workspace, TV, AC  split-type ductless system and 9 more",4.95,21,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.001277,0.021,4,Entire,Edmar,5.0,False,False
Private room in hostel hosted by Seed Dreams,"El Nido, Mimaropa, Philippines",Seed Dreams Room #5,3094,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Public or shared beach access, Bay view, Sea view, Wifi, Air conditioning, Private patio or balcony, Luggage drop-off allowed, Security cameras on property and 19 more",4.42,12,"Cleanliness 4.6, Accuracy 4.4, Communication 4.6, Location 4.3, Check-in 4.7, Value 4.4",0.003094,0.012,2,Private,Seed Dreams,4.5,False,False
Entire apartment hosted by Elmer,"Cebu City, Central Visayas, Philippines",Fully-Furnished Condo near IT Park & Ayala w/ Fibr,1990,"2 guests, Studio, 1 bed, 1 bathroom","City skyline view, Golf course view, Kitchen, Wifi, Dedicated workspace and 55 more",5.0,64,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.00199,0.064,2,Entire,Elmer,5.0,False,False
Room in boutique hotel hosted by Joven,"Boracay Island, Philippines",A relaxing time in Paradise Accredited,2103,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Wifi, Free parking on premises, TV with standard cable/satellite, Washing machine, Dryer and 10 more",4.8,80,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 4.6, Check-in 4.9, Value 4.7",0.002103,0.08,2,Single Room,Joven,4.82,False,True
Entire apartment hosted by Allan,"Quezon City, Metro Manila, Philippines",EASTWOOD CITY The comfort of your own home@MyPlace,2403,"3 guests, Studio, 1 queen bed, 1 floor mattress, 1 bathroom","Mountain view, Kitchen, Wifi, Dedicated workspace, Private outdoor pool  available all year, open specific hours, lap pool, Pets allowed, HDTV with Netflix, Roku, Lift, EV charger, Window AC unit and 59 more",4.92,13,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.8, Value 4.9",0.002403,0.013,3,Entire,Allan,4.85,False,False
Entire apartment hosted by Yasmin 'Yam',"Pasig, Metro Manila, Philippines",Budget Kapitolyo Studio,1652,"2 guests, Studio, 2 beds, 1 bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, TV with standard cable/satellite, Lift, Window AC unit, Hair dryer, Security cameras on property and 45 more",4.8,74,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.001652,0.074,2,Entire,Yasmin 'Yam',4.83,False,True
Entire rental unit hosted by Vic Austin,"Pasay, Metro Manila, Philippines","New Deal at Shore2 1BR 58""TV w/ Netflix + 50Mbps",2562,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Shared pool  , 58"" HDTV with Netflix, Lift, Air conditioning, Private patio or balcony, Hair dryer, Refrigerator and 27 more",4.88,17,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.002562,0.017,2,Entire,Vic Austin,4.85,False,True
Entire apartment hosted by Leni,"Makati, Metro Manila, Philippines",Comfortable Studio At Milano Residence by Versace,2854,"2 guests, 1 bedroom, 1 bed, 1 bathroom","City skyline view, Kitchen, Wifi, Shared indoor pool  available all year, open specific hours, Shared sauna, Pets allowed, HDTV with Netflix, Lift, Security cameras on property and 38 more",5.0,7,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 4.7, Check-in 5.0, Value 5.0",0.002854,0.007,2,Entire,Leni,4.93,False,False
Entire rental unit hosted by Marc,"Bacolod, Western Visayas, Philippines",Modern 1 BR Condo in Bacolod City,1787,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Pool, TV, Lift and 23 more",4.8,103,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.9",0.001787,0.103,2,Entire,Marc,4.87,False,False
Entire rental unit hosted by Janine Rae,"Pasay, Metro Manila, Philippines",The Zen Den w/ Netflix,2815,"4 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Shared pool, 32"" HDTV with Netflix, Lift, Dryer, AC  split-type ductless system, Private patio or balcony and 50 more",4.8,2,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.002815,0.002,4,Entire,Janine Rae,4.85,False,True
Entire apartment hosted by Missy,"Taguig, Metro Manila, Philippines",missy 's place - condo unit near bgc,1517,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Mountain view, Kitchen, Wifi, Dedicated workspace, Shared pool, TV, Lift, Washing machine, Air conditioning and 43 more",4.85,27,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.7, Check-in 4.7, Value 4.9",0.001517,0.027,2,Entire,Missy,4.82,False,False
Entire apartment hosted by Roselle And Mark,"Cebu City, Central Visayas, Philippines",Grand Cenia Quest Hotel Cebu 1BR 100MBPs + Parking,3593,"5 guests, 1 bedroom, 2 beds, 1 bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 47 more",4.67,6,"Cleanliness 4.7, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.7",0.003593,0.006,5,Entire,Roselle And Mark,4.77,False,False
Entire rental unit hosted by Jessica,"Makati, Metro Manila, Philippines",Scandi Inspired 1 BR in Makati with free parking,2270,"3 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Shared pool and 36 more",5.0,5,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.8, Check-in 5.0, Value 5.0",0.00227,0.005,3,Entire,Jessica,4.97,False,False
Entire apartment hosted by Ak,"Manila, Metro Manila, Philippines",Fast WI-FI w/ backup across Rizal Memorial Stadium,2056,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Wifi, Pool, TV, Lift, Washing machine and 35 more",4.6,10,"Cleanliness 4.4, Accuracy 4.7, Communication 4.7, Location 4.7, Check-in 4.6, Value 4.7",0.002056,0.01,2,Entire,Ak,4.63,False,False
Tent hosted by Uli,"Miramar, Province of Puntarenas, Costa Rica",A TRANSPARENT DOME IN THE JUNGLE,12606,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Harbour view, Ocean view, Mountain view, Kitchen, Wifi and 52 more",4.85,253,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.7",0.012606,0.253,2,Tent,Uli,4.82,False,False
Tent hosted by Uli,"Tajo Alto, Costa Rica","DOME JUNGLE ESCAPE | POOL, HAMMOCKS, AMAZING VIEWS",11660,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Mountain view, Ocean view, Kitchen, Wifi, Dedicated workspace and 48 more",4.85,459,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.01166,0.459,2,Tent,Uli,4.85,False,False
Entire villa hosted by Dagmar,"Puntarenas Province, Costa Rica",ACHIOT - casa Jaspis (adults only),47687,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Ocean view, Sea view, Public or shared beach access, Kitchen, Wifi and 52 more",5.0,15,"Cleanliness 5.0, Accuracy 4.9, Communication 5.0, Location 5.0, Check-in 4.9, Value 5.0",0.047687,0.015,2,Entire,Dagmar,4.97,False,False
Entire bungalow hosted by Simon Y Patricia,"Montezuma, Puntarenas Province, Costa Rica",Beautifull little house few steps from the beach,7464,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Garden view, Public or shared beach access, Kitchen, Wifi, Free parking on premises and 37 more",5.0,116,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.007464,0.116,2,Entire,Simon Y Patricia,5.0,False,False
Ice dome hosted by Sebastian,San Jose Costa Rica,"Crystal Igloo, Waterfalls, Transportation, Breakfasts",24797,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Garden view, Valley view, Kitchen, Free parking on premises, Pets allowed and 46 more",5.0,37,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.024797,0.037,2,Ice dome,Sebastian,4.98,False,False
Earthen home hosted by Juan Carlos,"Piedras, Guanacaste Province, Costa Rica",Discover the Artists ' Secret Studio,8955,"2 guests, 1 bedroom, 2 beds, 1 bathroom","Courtyard view, Garden view, Mountain view, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private patio or balcony and 38 more",4.95,43,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 4.9, Value 4.9",0.008955,0.043,2,Earthen home,Juan Carlos,4.92,False,False
Entire home hosted by Karen,"Puntarenas Province, Costa Rica","Ocean view villa, big infinity pool",19324,"4 guests, 2 bedrooms, 2 beds, 2.5 bathrooms","Beach view, Ocean view, Mountain view, Kitchen, Wifi, Free parking on premises, Private pool, TV and 22 more",4.85,61,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.8, Value 4.8",0.019324,0.061,4,Entire,Karen,4.87,False,False
Dome hosted by Jimmy,"La Fortuna, Alajuela Province, Costa Rica",ARENAL ECO GLAM VILLA,11312,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Wifi, Dedicated workspace, Free parking on premises, Private hot tub, Air conditioning and 16 more",4.77,359,"Cleanliness 4.9, Accuracy 4.8, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.7",0.011312,0.359,2,Dome,Jimmy,4.78,False,False
Entire chalet hosted by Jeaustin Diego Mayco,"Monteverde, Puntarenas Province, Costa Rica",Glass Cabin in the Forest+270 view+ Hot Tub +Deck,33422,"2 guests, 1 bedroom, 1 king bed, 1 bathroom","Mountain view, Ocean view, Valley view, Kitchen, Wifi and 54 more",5.0,74,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.033422,0.074,2,Entire,Jeaustin Diego Mayco,4.97,False,False
Treehouse hosted by Joseph,"Montezuma, Puntarenas, Costa Rica",Sacred GeomeTree House,5557,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Mountain view, Kitchen, Wifi, Free parking on premises, Shared pool  , Pets allowed, Patio or balcony, Garden and 24 more",4.8,348,"Cleanliness 4.7, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.7",0.005557,0.348,2,Treehouse,Joseph,4.77,False,False
Treehouse hosted by Crista,"Playa Grande, Guanacaste, Costa Rica",Modern Tree-House with beautiful mountain view,23337,"4 guests, 1 bedroom, 3 beds, 1 bathroom","Mountain view, Garden view, Valley view, Kitchen, Fast wifi  78 Mbps and 42 more",4.95,152,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.8",0.023337,0.152,4,Treehouse,Crista,4.9,False,False
Tiny home hosted by Niccole,"Playa Hermosa, Province of Puntarenas, Costa Rica",Beachfront Bungalow with private hydromassage Pool,11611,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Garden view, Mountain view, Public or shared beach access, Kitchen, Wifi and 43 more",4.94,125,"Cleanliness 5.0, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.011611,0.125,2,Tiny home,Niccole,4.9,False,False
Private room in tent hosted by Andrea,"La Fortuna, Alajuela Province, Costa Rica",Glamping hotel with Arenal Volcano views,15343,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","Wifi, Free parking on premises, Shared pool, Shared hot tub, Air conditioning, Shared back garden  Not fully fenced, Travel cot, Hair dryer and 26 more",4.97,393,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.015343,0.393,2,Private,Andrea,4.98,False,True
Entire villa hosted by Jeff,"Sunday, Puntarenas, Costa Rica",Modern 1 bedroom villa with pool-2022 Construction,14513,"4 guests, 1 bedroom, 1 queen bed, 1 bathroom","Mountain view, Ocean view, Valley view, Kitchen, Wifi  24 Mbps, Dedicated workspace, Free driveway parking on premises  2 spaces, Security cameras on property and 64 more",4.95,43,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.014513,0.043,4,Entire,Jeff,4.98,False,False
Entire villa hosted by Diego,"Chiquito River, Guanacaste Province, Costa Rica",Lake view Cattle Ranch Villa,10698,"3 guests, 1 bedroom, 1 bed, 1 bathroom","Lake access, Waterfront, Mountain view, Kitchen, Wifi and 37 more",4.94,36,"Cleanliness 4.9, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.9",0.010698,0.036,3,Entire,Diego,4.85,False,False
Entire villa hosted by Wayne,"Santa Teresa de Cobano, Province of Puntarenas, Costa Rica",**Mountaintop Villa  Infinity Pool  EPIC view**,12855,"2 guests, 1 bedroom, 1 queen bed, 1 sofa, 1 bathroom","Kitchen, Wifi, Free parking on premises, Pool, TV and 17 more",4.91,65,"Cleanliness 4.7, Accuracy 4.8, Communication 5.0, Location 4.8, Check-in 4.9, Value 4.8",0.012855,0.065,2,Entire,Wayne,4.83,False,False
Entire home hosted by Pat Mati Guli,"Manzanillo, Puntarenas Province, Costa Rica",Romantic Hideaway! 5 minute drive to Playa Hermosa,16255,"2 guests, 1 bedroom, 1 king bed, 1 bathroom","Garden view, Mountain view, Valley view, Kitchen, Wifi and 41 more",4.77,30,"Cleanliness 4.5, Accuracy 4.9, Communication 4.9, Location 4.6, Check-in 4.8, Value 4.6",0.016255,0.03,2,Entire,Pat Mati Guli,4.72,False,False
Entire loft hosted by Luis,"Brazilito, Guanacaste Provinces, Costa Rica","New! Sukha Bambu near Conchal, Tamarindo, Flamingo",8509,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pool and 15 more",4.92,62,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 4.8, Check-in 4.8, Value 4.9",0.008509,0.062,2,Entire,Luis,4.87,False,False
Entire serviced apartment hosted by Miguel,San Jose Costa Rica,17 floor modern Apt Sabana Park a/c free parking,5391,"5 guests, 2 bedrooms, 2 beds, 2 bathrooms","City skyline view, Mountain view, Kitchen, Wifi, Dedicated workspace and 50 more",4.98,57,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.8, Check-in 4.8, Value 4.9",0.005391,0.057,5,Entire,Miguel,4.92,False,False
Entire villa hosted by Dagmar,"Puntarenas Province, Costa Rica",ACHIOT - casa Nefrit (adults only),49049,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Public or shared beach access, Garden view, Ocean view, Sea view, Kitchen and 52 more",5.0,7,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.049049,0.007,2,Entire,Dagmar,5.0,False,False
Treehouse hosted by Crista,"Matapalo, Guanacaste Province, Costa Rica",Bohemian Chic Tree House with magical views,25013,"4 guests, 1 bedroom, 1 bed, 1 bathroom","Courtyard view, Garden view, Kitchen, Fast wifi  78 Mbps, Free driveway parking on premises  2 spaces and 58 more",4.97,73,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.025013,0.073,4,Treehouse,Crista,4.98,False,False
Entire apartment hosted by Jhonathan,"Jacó, Puntarenas Province, Costa Rica","Tropical & Quiet Condo, with pool, Close to Beach",5391,"2 guests, 1 bedroom, 1 queen bed, 1 bathroom","Public or shared beach access, Courtyard view, Kitchen, Fast wifi  91 Mbps, Dedicated workspace and 52 more",4.94,35,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.005391,0.035,2,Entire,Jhonathan,4.98,False,False
Entire villa hosted by Katerina,"Tamarindo, Guanacaste Province, Costa Rica",Lux 2BR Villa w/Private Pool & Beach Club Access,36491,"6 guests, 2 bedrooms, 1 king bed, 2.5 bathrooms","Mountain view, Public or shared beach access, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private outdoor pool  available all year, open 24 hours, saltwater, 55"" HDTV with Amazon Prime Video, Disney+, Netflix, Security cameras on property and 77 more",5.0,16,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.8",0.036491,0.016,6,Entire,Katerina,4.93,False,False
Entire cabin hosted by Jerome,"Monteverde, Puntarenas Province, Costa Rica",Jaguar House (3),17727,"3 guests, 1 bedroom, 1 double bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, 43"" HDTV with Netflix and 37 more",4.96,78,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.017727,0.078,3,Entire,Jerome,4.97,False,False
Entire villa hosted by Mariela,"Puntarenas Province, Costa Rica",Fast WiFi - Wake up to Beach View - Monkeys&Tucans,13659,"6 guests, 2 bedrooms, 2 beds, 2.5 bathrooms","Beach access  Beachfront, Kitchen, Wifi, Free parking on premises, Private pool and 58 more",4.85,134,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 5.0, Check-in 5.0, Value 4.8",0.013659,0.134,6,Entire,Mariela,4.92,False,False
Entire home hosted by Kira,"Puerto Viejo de Talamanca, Costa Rica",Cocoon: 2 bedroom villa 5 min walk to sea/town,16269,"4 guests, 2 bedrooms, 2 beds, 2.5 bathrooms","Courtyard view, Garden view, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private outdoor pool  available all year, open 24 hours, Air conditioning and 33 more",4.83,12,"Cleanliness 4.8, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 4.9, Value 4.9",0.016269,0.012,4,Entire,Kira,4.9,False,False
Tiny home hosted by Ruth,"Monteverde, Puntarenas Province, Costa Rica",Borbon tiny cabin,6635,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Mountain view, Wifi, Free parking on premises, Pets allowed, Security cameras on property and 14 more",4.71,14,"Cleanliness 4.9, Accuracy 4.9, Communication 4.8, Location 4.9, Check-in 4.9, Value 4.7",0.006635,0.014,2,Tiny home,Ruth,4.85,False,False
Bus hosted by Bernardo,"Tierras Morenas, Province of Guanacaste, Costa Rica","Sunset view BUS, unique stay, 5min to lake Arenal",14862,"3 guests, 1 bedroom, 1 queen bed, 1 sofa bed, 1 bathroom","Mountain view, Valley view, Kitchen, Wifi  30 Mbps, Dedicated workspace, Free parking on premises, Pets allowed, Security cameras on property and 45 more",4.96,302,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.014862,0.302,3,Bus,Bernardo,4.97,False,False
Entire home hosted by Vacasa Costa Rica,"Playa Grande, Guanacaste Province, Costa Rica","Vibrant and modern dog-friendly home with pool, balcony, & full kitchen",16738,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pool and 24 more",4.5,6,"Cleanliness 4.2, Accuracy 4.7, Communication 4.5, Location 4.5, Check-in 4.7, Value 4.2",0.016738,0.006,2,Entire,Vacasa Costa Rica,4.47,False,False
Entire cabin hosted by Nicole And Javier,"Puerto Viejo de Talamanca, Limón, Costa Rica",Ba Ko | Pool+garden luxury cabin,8277,"2 guests, 1 bedroom, 1 queen bed, 1 bathroom","Garden view, Kitchen, Wifi, Dedicated workspace, Free driveway parking on premises  2 spaces and 41 more",4.9,76,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.9",0.008277,0.076,2,Entire,Nicole And Javier,4.92,False,False
Private room in apartment hosted by Seemore,San Jose Costa Rica,Private Room with Bathroom Downtown San Jose,1410,"2 guests, 1 bedroom, 1 double bed, 1 private bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, Pets allowed and 41 more",4.79,155,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.2, Check-in 5.0, Value 4.9",0.00141,0.155,2,Private,Seemore,4.78,False,False
Entire home hosted by Kenneth,"Alajuela, Costa Rica",Tropical Oasis 5 min to SJO airport W/ cozy deck,4976,"6 guests, 3 bedrooms, 3 beds, 2 bathrooms","Garden view, Courtyard view, Kitchen, Fast wifi  160 Mbps, Dedicated workspace and 59 more",5.0,24,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.004976,0.024,6,Entire,Kenneth,5.0,False,False
Entire cabin hosted by Andr s,"Zapotal, San José, Costa Rica",Pipes Lodge,4444,"4 guests, 1 bedroom, 1 bed, 1 bathroom","Mountain view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 40 more",4.95,22,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 4.9, Value 5.0",0.004444,0.022,4,Entire,Andr s,4.97,False,False
Entire cabin hosted by Kely,"San Carlos, Alajuela, Costa Rica","Isolated cabin , 30min away Fortuna, w/wifi",4281,"3 guests, 1 bedroom, 1 bed, 1 bathroom","Courtyard view, Garden view, Kitchen, Wifi, Dedicated workspace and 50 more",4.99,186,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.004281,0.186,3,Entire,Kely,4.98,False,False
Entire home hosted by Jessica,"Hone Creek, Limón, Costa Rica",Majestical jungle house with Caribbean view,13385,"4 guests, 2 bedrooms, 3 beds, 2 bathrooms","Mountain view, Ocean view, Kitchen, Wifi, Dedicated workspace and 44 more",5.0,11,"Cleanliness 4.9, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.6, Value 4.8",0.013385,0.011,4,Entire,Jessica,4.82,False,False
Tiny home hosted by Yann Erik,"PAQUERA, Puntarenas Province, Costa Rica",Equinox Lodge  Breathtaking  Canopy & Ocean view,24018,"4 guests, 2 bedrooms, 2 beds, 1 bathroom","Bay view, Garden view, Beach access, Kitchen, Wifi  11 Mbps and 45 more",4.96,45,"Cleanliness 5.0, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 4.8, Value 4.9",0.024018,0.045,4,Tiny home,Yann Erik,4.92,False,False
Tiny home hosted by Marco,"Playa Carmen, Puntarenas Province, Costa Rica",Private Bungalow! Full Kitchen | Wi-Fi 100MB | AC,7132,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Bay view, Sea view, Kitchen, Wifi, Free parking on premises and 38 more",4.95,22,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.6, Check-in 4.9, Value 5.0",0.007132,0.022,2,Tiny home,Marco,4.92,False,False
Private room in hut hosted by Casa Maar,"Bosque Alegre Lagoon, Alajuela Province, Costa Rica",Casamaar - Tented Camp,20568,"2 guests, 1 bedroom, 1 bed, 1.5 bathrooms","Lake access, Garden view, Valley view, Mountain view, Courtyard view, Wifi, Free parking on premises, Security cameras on property and 37 more",4.97,67,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.020568,0.067,2,Private,Casa Maar,4.98,False,False
Entire rental unit hosted by Zoe,"Tamarindo, Guanacaste Province, Costa Rica",Tamarindo Studio #4 | Close to beach & town center,4561,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free parking on premises, TV, Washing machine, Air conditioning and 13 more",4.78,37,"Cleanliness 4.8, Accuracy 4.9, Communication 4.7, Location 4.8, Check-in 4.8, Value 4.9",0.004561,0.037,2,Entire,Zoe,4.82,False,False
Entire home hosted by Fanny,"Puntarenas Province, Costa Rica",Casa Carpe Diem,12595,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Beach access  Beachfront, Kitchen, Wifi, Free parking on premises, Shared pool and 31 more",4.79,301,"Cleanliness 4.8, Accuracy 4.7, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.8",0.012595,0.301,2,Entire,Fanny,4.77,False,False
Entire home hosted by Aaron,"San Isidro de El General, San José Province, Costa Rica",Casa Luz,11196,"4 guests, 1 bedroom, 1 queen bed, 1 bathroom","Valley view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 27 more",4.85,224,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.9",0.011196,0.224,4,Entire,Aaron,4.88,False,False
Entire home hosted by Andreas,"Santa Teresa, Province of Puntarenas, Costa Rica",Casa Labme Ocean View Getaway - Adults only,14729,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Garden view, Mountain view, Public or shared beach access, Kitchen, Wifi and 53 more",5.0,116,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.014729,0.116,2,Entire,Andreas,5.0,False,False
Entire rental unit hosted by Julliam,"Tamarindo, Guanacaste Province, Costa Rica",Las Palmas Apartments #7 Full Equipped,4976,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Free parking on premises, Shared pool, Hot tub and 31 more",4.94,17,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.8, Check-in 4.8, Value 4.8",0.004976,0.017,2,Entire,Julliam,4.83,False,False
Entire rental unit hosted by Gabriel,"Curridabat, San José, Costa Rica",Digital Nomads Dream + Sauna!,3936,"4 guests, 1 bedroom, 3 beds, 1.5 bathrooms","City skyline view, Mountain view, Kitchen, Fast wifi  108 Mbps, Dedicated workspace and 59 more",5.0,13,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.003936,0.013,4,Entire,Gabriel,4.98,False,False
